OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,Shape_Length,Shape_Area,COUNTY_NAME,PREFERRED_CITY
124,98303,98303,053,Standard,100332.430277253,224054989.5658,Pierce County,ANDERSON ISLAND
125,98304,98304,053,Standard,148164.538100714,322185529.255085,Pierce County,ASHFORD
126,98310,98310,035,Standard,53742.9544058882,151938878.423444,Kitsap County,BREMERTON
127,98311,98311,035,Standard,80184.5342486696,305252168.756766,Kitsap County,BREMERTON
128,98312,98312,035,Standard,309277.301391635,1815260051.09847,Kitsap County,BREMERTON
129,98314,98314,035,Unique,47284.4816262879,17243414.8815136,Kitsap County,BREMERTON
130,98315,98315,035,Standard,89492.0180206183,305686874.915044,Kitsap County,SILVERDALE
131,98321,98321,053,Standard,203533.627868084,1143293737.21058,Pierce County,BUCKLEY
132,98323,98323,053,Standard,161148.783648178,826550521.678505,Pierce County,CARBONADO
133,98327,98327,053,Standard,95271.3944033658,192972502.01469,Pierce County,DUPONT
134,98328,98328,053,Standard,304188.897703458,2717657378.75255,Pierce County,EATONVILLE
135,98329,98329,053,Standard,157239.465509409,720554062.162433,Pierce County,GIG HARBOR
136,98330,98330,053,Standard,45773.0855714593,53285055.2628591,Pierce County,ELBE
137,98332,98332,053,Standard,133917.847569236,584193953.63792,Pierce County,GIG HARBOR
138,98333,98333,053,Standard,77598.048520486,143543103.462987,Pierce County,FOX ISLAND
139,98335,98335,053,Standard,183845.813152139,624049842.061831,Pierce County,GIG HARBOR
140,98337,98337,035,Standard,23679.1687282685,26585842.7289696,Kitsap County,BREMERTON
141,98338,98338,053,Standard,224377.437630031,1600401562.80929,Pierce County,GRAHAM
142,98340,98340,035,Standard,92459.7274660116,200154613.762434,Kitsap County,HANSVILLE
143,98342,98342,035,Standard,52169.883469774,94643089.6344802,Kitsap County,INDIANOLA
144,98345,98345,035,PO Box,25005.6026396927,12546439.2347661,Kitsap County,KEYPORT
145,98346,98346,035,Standard,208885.717737245,690648859.113622,Kitsap County,KINGSTON
146,98349,98349,053,Standard,191076.148707963,593732273.123506,Pierce County,LAKEBAY
147,98351,98351,053,Standard,108589.44020746,255301603.540799,Pierce County,LONGBRANCH
148,98354,98354,033,Standard,25310.3795742807,15004869.6511532,King County,MILTON
149,98354,98354,053,Standard,41500.7194148439,57586161.1375738,Pierce County,MILTON
150,98359,98359,035,Standard,96069.3162223938,382122913.43151,Kitsap County,OLALLA
151,98360,98360,053,Standard,253905.892081347,1460825810.74423,Pierce County,ORTING
152,98366,98366,035,Standard,183219.062739323,660949212.963132,Kitsap County,PORT ORCHARD
153,98367,98367,035,Standard,231810.021250127,2171137806.04173,Kitsap County,PORT ORCHARD
154,98370,98370,035,Standard,380458.028253444,1649530607.26885,Kitsap County,POULSBO
155,98371,98371,053,Standard,94169.3117630309,362704639.243807,Pierce County,PUYALLUP
156,98372,98372,053,Standard,108969.639015604,373917060.363163,Pierce County,PUYALLUP
157,98373,98373,053,Standard,64284.7284115207,257979684.614837,Pierce County,PUYALLUP
158,98374,98374,053,Standard,108095.145660153,467542203.688638,Pierce County,PUYALLUP
159,98375,98375,053,Standard,65271.0364044036,258436981.076223,Pierce County,PUYALLUP
160,98380,98380,035,Standard,258881.63624543,1277849520.03771,Kitsap County,SEABECK
161,98383,98383,035,Standard,143446.441624924,466266247.526873,Kitsap County,SILVERDALE
162,98385,98385,053,Standard,13894.8279792335,11206789.0517275,Pierce County,SOUTH PRAIRIE
163,98387,98387,053,Standard,222586.298015202,600727096.47732,Pierce County,SPANAWAY
164,98388,98388,053,Standard,150472.326626288,270365040.708388,Pierce County,STEILACOOM
165,98390,98390,053,Standard,102124.291492003,259404678.153172,Pierce County,SUMNER
166,98391,98391,053,Standard,202315.412716369,1066848816.16266,Pierce County,BONNEY LAKE
167,98392,98392,035,Standard,43995.6057693667,51250366.0680654,Kitsap County,SUQUAMISH
168,98394,98394,053,Standard,79405.8937056336,133404688.178541,Pierce County,VAUGHN
169,98396,98396,053,Standard,735525.483097261,12041118450.9687,Pierce County,WILKESON
170,98397,98397,053,Standard,428882.206996894,8546367830.66873,Pierce County,LONGMIRE
171,98402,98402,053,Standard,30734.1758557716,26122235.4721448,Pierce County,TACOMA
172,98403,98403,053,Standard,23495.0333527643,28909375.6830645,Pierce County,TACOMA
173,98404,98404,053,Standard,61572.1532475272,216064462.51601,Pierce County,TACOMA
174,98405,98405,053,Standard,50261.100128424,119311831.310461,Pierce County,TACOMA
175,98406,98406,053,Standard,74118.9712239438,108837257.148837,Pierce County,TACOMA
176,98407,98407,053,Standard,71745.4484657602,155761059.396357,Pierce County,TACOMA
177,98408,98408,053,Standard,40949.9216956624,95930078.0846862,Pierce County,TACOMA
178,98409,98409,053,Standard,74004.1799257125,203658771.395322,Pierce County,TACOMA
179,98416,98416,053,Unique,9681.51226136949,4084771.55624899,Pierce County,TACOMA
180,98418,98418,053,Standard,27782.0268112828,46885764.1226016,Pierce County,TACOMA
181,98421,98421,053,Standard,121126.149870359,180865484.646134,Pierce County,TACOMA
182,98422,98422,033,Standard,18681.5169608148,1593000.05017631,King County,TACOMA
183,98422,98422,053,Standard,93055.1759470108,185729817.247069,Pierce County,TACOMA
184,98424,98424,053,Standard,70301.3632964295,151535020.460355,Pierce County,TACOMA
185,98430,98430,053,Standard,16682.2916373454,13323856.205509,Pierce County,CAMP MURRAY
186,98433,98433,053,Standard,364517.857849181,2980326383.99468,Pierce County,TACOMA
187,98438,98438,053,Standard,74075.4039876706,179111621.16739,Pierce County,TACOMA
188,98439,98439,053,Standard,31208.6746879129,32367051.3095343,Pierce County,LAKEWOOD
189,98443,98443,053,Standard,51842.2282453735,138725726.1697,Pierce County,TACOMA
190,98444,98444,053,Standard,84939.7842849281,193899333.485341,Pierce County,TACOMA
191,98445,98445,053,Standard,95666.1493196208,302059701.039174,Pierce County,TACOMA
192,98446,98446,053,Standard,92261.2847446496,303052697.022457,Pierce County,TACOMA
193,98447,98447,053,Unique,9413.06547618663,3176084.47231763,Pierce County,TACOMA
194,98465,98465,053,Standard,35511.7127978172,52783838.1541694,Pierce County,TACOMA
195,98466,98466,053,Standard,61175.8867076834,162812597.529725,Pierce County,TACOMA
196,98467,98467,053,Standard,56520.8717446945,126466429.452082,Pierce County,UNIVERSITY PLACE
197,98498,98498,053,Standard,94191.6298205216,271504227.425359,Pierce County,LAKEWOOD
198,98499,98499,053,Standard,82258.8314442442,258668276.067722,Pierce County,LAKEWOOD
199,98580,98580,053,Standard,234421.90642829,1813778218.6739,Pierce County,ROY
200,98826,98826,007,Standard,845445.555911526,26179809172.1053,Chelan County,LEAVENWORTH
201,98922,98922,037,Standard,871202.840237978,17220076338.9379,Kittitas County,CLE ELUM
202,98925,98925,037,Standard,513881.75561834,5997914904.4595,Kittitas County,EASTON
203,98926,98926,037,Standard,947568.861297733,32490465847.5645,Kittitas County,ELLENSBURG
204,98934,98934,037,PO Box,21908.6905747336,12289665.0654034,Kittitas County,KITTITAS
205,98940,98940,037,PO Box,465055.06553898,5451150404.5628,Kittitas County,RONALD
206,98941,98941,037,PO Box,128017.069816111,357024286.209639,Kittitas County,ROSLYN
207,98943,98943,037,PO Box,14265.7191524655,10064275.3951149,Kittitas County,SOUTH CLE ELUM
208,98946,98946,037,Standard,148179.572806545,836663894.394367,Kittitas County,THORP
209,98950,98950,037,PO Box,209701.375729641,915724778.436799,Kittitas County,VANTAGE
